task_id	language	bddl_file
0	close the top drawer of the cabinet	KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet.bddl
1	close the top drawer of the cabinet and put the black bowl on top of it	KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it.bddl
2	put the black bowl in the top drawer of the cabinet	KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.bddl
3	put the butter at the back in the top drawer of the cabinet and close it	KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it.bddl
4	put the butter at the front in the top drawer of the cabinet and close it	KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it.bddl
5	put the chocolate pudding in the top drawer of the cabinet and close it	KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it.bddl
6	open the bottom drawer of the cabinet	KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet.bddl
7	open the top drawer of the cabinet	KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet.bddl
8	open the top drawer of the cabinet and put the bowl in it	KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it.bddl
9	put the black bowl on the plate	KITCHEN_SCENE1_put_the_black_bowl_on_the_plate.bddl
10	put the black bowl on top of the cabinet	KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet.bddl
11	open the top drawer of the cabinet	KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet.bddl
12	put the black bowl at the back on the plate	KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate.bddl
13	put the black bowl at the front on the plate	KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate.bddl
14	put the middle black bowl on the plate	KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate.bddl
15	put the middle black bowl on top of the cabinet	KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet.bddl
16	stack the black bowl at the front on the black bowl in the middle	KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle.bddl
17	stack the middle black bowl on the back black bowl	KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl.bddl
18	put the frying pan on the stove	KITCHEN_SCENE3_put_the_frying_pan_on_the_stove.bddl
19	put the moka pot on the stove	KITCHEN_SCENE3_put_the_moka_pot_on_the_stove.bddl
20	turn on the stove	KITCHEN_SCENE3_turn_on_the_stove.bddl
21	turn on the stove and put the frying pan on it	KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it.bddl
22	close the bottom drawer of the cabinet	KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet.bddl
23	close the bottom drawer of the cabinet and open the top drawer	KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer.bddl
24	put the black bowl in the bottom drawer of the cabinet	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet.bddl
